vin,nom,ville,etat
SCFAD05D49G015739,Deane Meadowcraft,Cambridge,Massachusetts
WAUGU54D81N014453,Franciskus MacKilroe,Fort Worth,Texas
WVWED7AJ1BW280098,Currie Standen,Pueblo,Colorado
1N6AF0KY0EN732688,Leela Woolley,Detroit,Michigan
3N1CE2CP6FL121469,Dallas Carde,Newark,New Jersey
1C3BCBEB4CN002982,Easter Mallen,Raleigh,North Carolina
WAUEF98EX8A642415,Freedman Senter,Bethlehem,Pennsylvania
1G6KY54913U726019,Wylie Lardier,Tacoma,Washington
5N1AN0NU5EN130976,Arlen Rivallant,Harrisburg,Pennsylvania
WAUAVAFD4CN946032,Cornelia McCaghan,New York City,New York
WAUWFAFR9CA746687,Sashenka Atherley,Youngstown,Ohio
WAUDG74F25N911765,Torey Rainville,Hayward,California
WBA3A5C52CF886934,Hal Shoubridge,Jackson,Mississippi
ML32A3HJ2FH721101,Collie Trustrie,Austin,Texas
WBAVL1C54FV089056,Kalli Petriello,Philadelphia,Pennsylvania
1G4PP5SKXC4632633,Lacy Matisoff,Washington,District of Columbia
JM1NC2LF5E0960981,Sondra Burnside,Bowie,Maryland
WAUFFAFL9AN671538,Clemmie Calan,Springfield,Illinois
1N6AA0CA9AN909636,Karim Michelin,Bronx,New York
3VW507AT0FM760357,Flynn Pimmocke,Houston,Texas
KMHHT6KD2DU942929,Mathian Winkworth,Savannah,Georgia
SCFFDAAE1AG473267,Paddy Spikeings,Orange,California
WP0AB2A86CU011242,Don Batecok,West Palm Beach,Florida
1G4HP54K754368923,Gilbertine Winning,Harrisburg,Pennsylvania
1C3BC1FB0BN899936,Alisander Keppin,Tulsa,Oklahoma
JH4DC54863S383567,Patience Ogan,Fort Lauderdale,Florida
1N6AA0CA0AN176361,Marisa Gockelen,Santa Ana,California
SALVP1BG1CH262979,Heidi Leguay,Akron,Ohio
WAUVKAFR2AA974891,Augie Vowels,Brockton,Massachusetts
WAUCFAFR7FA574392,Ingra Batistelli,Idaho Falls,Idaho
WAUFFAFM1CA256880,Tarrance Aylward,Canton,Ohio
